practice,demographic,chi2,p_value,dof,n
agroforestry_adopted_bin,gender,0,1,1,194
agroforestry_adopted_bin,age_group,3.0960784791813984,0.5418776170465258,4,194
agroforestry_adopted_bin,county_name,0.6267680066129678,0.4285433145335775,1,194
drought_varieties_adopted_bin,gender,0,1,1,195
drought_varieties_adopted_bin,age_group,12.975369727057725,0.011396770983419301,4,195
drought_varieties_adopted_bin,county_name,1.0823370993168682,0.29817531868151503,1,195
crop_rotation_adopted_bin,gender,0,1,1,195
crop_rotation_adopted_bin,age_group,0.7270968725113313,0.9479457632646359,4,195
crop_rotation_adopted_bin,county_name,0,1,1,195
mulching_adopted_bin,gender,2.070606485087775,0.15016179676171157,1,192
mulching_adopted_bin,age_group,6.894113131722549,0.14159079110467943,4,192
mulching_adopted_bin,county_name,1.115232611556234,0.29094731677117125,1,192
composting_adopted_bin,gender,0.15580610795454544,0.6930474564542152,1,195
composting_adopted_bin,age_group,1.1245107922201139,0.8903640524238614,4,195
composting_adopted_bin,county_name,0.380859375,0.5371436719114586,1,195
water_harvesting_adopted_bin,gender,0,1,1,195
water_harvesting_adopted_bin,age_group,1.3007883565797451,0.8612417610454918,4,195
water_harvesting_adopted_bin,county_name,0.12564432989690724,0.7229915987478485,1,195
drip_irrigation_adopted_bin,gender,0.3050139245384542,0.5807560807229102,1,194
drip_irrigation_adopted_bin,age_group,3.7785117506642556,0.4368100314915776,4,194
drip_irrigation_adopted_bin,county_name,0.04328485092649285,0.8351898361820891,1,194
kitchen_garden_adopted_bin,gender,0.002870348563353745,0.9572732698385714,1,195
kitchen_garden_adopted_bin,age_group,0.7270968725113313,0.9479457632646359,4,195
kitchen_garden_adopted_bin,county_name,0,1,1,195
food_forest_adopted_bin,gender,0,1,1,195
food_forest_adopted_bin,age_group,3.709371143394096,0.44676441139703094,4,195
food_forest_adopted_bin,county_name,0,1,1,195
soil_conservation_adopted_bin,gender,0.09232954545454546,0.7612362507653869,1,195
soil_conservation_adopted_bin,age_group,9.104013658361627,0.05855156992226242,4,195
soil_conservation_adopted_bin,county_name,0.08125,0.7756105425420374,1,195
